rank,candidate_id,semantic_score,skill_score,behavior_score,experience_score,final_score,explanation
1,CAND_0005260,0.7998,6.91,0.6736,1.0,2.3321,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals; Relevant professional experience
2,CAND_0012957,0.7476,6.96,0.76,0.7,2.296,Strong technical skill alignment; Positive candidate engagement signals
3,CAND_0092245,0.7737,7.27,0.1794,0.7,2.2679,Strong semantic match with job description; Strong technical skill alignment
4,CAND_0058791,0.7881,6.5233,0.5338,0.7,2.1578,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals
5,CAND_0032270,0.7469,6.63,0.3222,0.7,2.1257,Strong technical skill alignment
6,CAND_0070202,0.7737,6.44,0.2028,1.0,2.11,Strong semantic match with job description; Strong technical skill alignment; Relevant professional experience
7,CAND_0070398,0.7767,6.02,0.6746,1.0,2.1006,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals; Relevant professional experience
8,CAND_0008978,0.7879,5.9,0.3914,1.0,2.0184,Strong semantic match with job description; Strong technical skill alignment; Relevant professional experience
9,CAND_0002025,0.838,5.4,0.7776,1.0,1.9907,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals; Relevant professional experience
10,CAND_0034400,0.7351,5.87,0.6148,0.7,1.9895,Strong technical skill alignment; Positive candidate engagement signals
11,CAND_0096142,0.7757,5.39,0.7766,1.0,1.9631,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals; Relevant professional experience
12,CAND_0096172,0.7791,5.32,0.7078,1.0,1.9332,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals; Relevant professional experience
13,CAND_0078508,0.7945,5.46,0.4766,1.0,1.9281,Strong semantic match with job description; Strong technical skill alignment; Relevant professional experience
14,CAND_0015578,0.7777,5.29,0.714,1.0,1.9264,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals; Relevant professional experience
15,CAND_0046595,0.7098,5.49,0.5928,1.0,1.925,Strong technical skill alignment; Positive candidate engagement signals; Relevant professional experience
16,CAND_0088025,0.8017,5.1,0.8406,1.0,1.9138,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals; Relevant professional experience
17,CAND_0055905,0.8141,5.27,0.5874,1.0,1.9106,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals; Relevant professional experience
18,CAND_0030784,0.7571,5.3,0.8826,0.7,1.9094,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals
19,CAND_0084367,0.7121,5.63,0.5546,0.7,1.9083,Strong technical skill alignment; Positive candidate engagement signals
20,CAND_0055992,0.8006,5.41,0.7962,0.5,1.907,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals
21,CAND_0072721,0.7531,5.54,0.5736,0.7,1.906,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals
22,CAND_0034169,0.8201,5.2733,0.7142,0.7,1.8942,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals
23,CAND_0098288,0.77,5.1133,0.7872,1.0,1.8938,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals; Relevant professional experience
24,CAND_0060072,0.8122,5.16,0.6016,1.0,1.8852,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals; Relevant professional experience
25,CAND_0020708,0.7795,5.16,0.8428,0.7,1.8753,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals
26,CAND_0022413,0.735,5.3533,0.4548,1.0,1.8733,Strong technical skill alignment; Relevant professional experience
27,CAND_0051292,0.7866,5.1,0.6472,1.0,1.8691,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals; Relevant professional experience
28,CAND_0028287,0.7529,5.3033,0.4502,1.0,1.867,Strong semantic match with job description; Strong technical skill alignment; Relevant professional experience
29,CAND_0084498,0.7478,5.5,0.4356,0.7,1.8662,Strong technical skill alignment
30,CAND_0039838,0.7777,5.16,0.7994,0.7,1.866,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals
31,CAND_0051615,0.798,5.1367,0.7866,0.7,1.8657,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals
32,CAND_0007460,0.7948,5.13,0.7934,0.7,1.8641,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals
33,CAND_0049808,0.7275,5.36,0.4118,1.0,1.8633,Strong technical skill alignment; Relevant professional experience
34,CAND_0042029,0.7993,4.94,0.754,1.0,1.8555,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
35,CAND_0052682,0.7726,4.87,0.8928,1.0,1.8551,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
36,CAND_0037433,0.7198,5.45,0.2206,1.0,1.8445,Strong technical skill alignment; Relevant professional experience
37,CAND_0037944,0.7931,5.4,0.3546,0.7,1.8431,Strong semantic match with job description; Strong technical skill alignment
38,CAND_0095528,0.7793,5.1,0.5098,1.0,1.8387,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals; Relevant professional experience
39,CAND_0056442,0.7136,5.23,0.4592,1.0,1.8348,Strong technical skill alignment; Relevant professional experience
40,CAND_0020820,0.7638,5.3833,0.2786,0.7,1.8121,Strong semantic match with job description; Strong technical skill alignment
41,CAND_0038368,0.7539,5.0967,0.4304,1.0,1.8118,Strong semantic match with job description; Strong technical skill alignment; Relevant professional experience
42,CAND_0095884,0.8055,5.16,0.4694,0.7,1.8111,Strong semantic match with job description; Strong technical skill alignment
43,CAND_0058412,0.8033,4.7067,0.8136,1.0,1.8107,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
44,CAND_0089498,0.7842,4.7833,0.7352,1.0,1.8065,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
45,CAND_0003977,0.7542,5.1,0.6224,0.7,1.8062,Strong semantic match with job description; Strong technical skill alignment; Positive candidate engagement signals
46,CAND_0089012,0.7472,4.96,0.766,0.7,1.7971,Positive candidate engagement signals
47,CAND_0030031,0.778,4.92,0.5124,1.0,1.7937,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
48,CAND_0077285,0.7726,5.0,0.3884,1.0,1.7867,Strong semantic match with job description; Strong technical skill alignment; Relevant professional experience
49,CAND_0039754,0.825,4.87,0.8022,0.5,1.7829,Strong semantic match with job description; Positive candidate engagement signals
50,CAND_0076265,0.7461,5.2233,0.1406,1.0,1.7824,Strong technical skill alignment; Relevant professional experience
51,CAND_0083790,0.7516,4.98,0.6,0.7,1.7707,Strong semantic match with job description; Positive candidate engagement signals
52,CAND_0066758,0.7275,4.8067,0.6196,1.0,1.7666,Positive candidate engagement signals; Relevant professional experience
53,CAND_0080589,0.7662,4.8733,0.457,1.0,1.7662,Strong semantic match with job description; Relevant professional experience
54,CAND_0052712,0.7968,4.98,0.4626,0.7,1.7612,Strong semantic match with job description
55,CAND_0050707,0.7527,5.0767,0.2028,1.0,1.7608,Strong semantic match with job description; Strong technical skill alignment; Relevant professional experience
56,CAND_0011489,0.7475,4.71,0.6666,1.0,1.7598,Positive candidate engagement signals; Relevant professional experience
57,CAND_0075318,0.7524,4.5567,0.7696,1.0,1.7441,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
58,CAND_0049373,0.7446,4.7833,0.4914,1.0,1.742,Relevant professional experience
59,CAND_0012918,0.7526,4.8,0.4494,1.0,1.7409,Strong semantic match with job description; Relevant professional experience
60,CAND_0075504,0.7661,5.06,0.3132,0.7,1.7391,Strong semantic match with job description; Strong technical skill alignment
61,CAND_0090584,0.7727,4.7467,0.424,1.0,1.7306,Strong semantic match with job description; Relevant professional experience
62,CAND_0047258,0.7426,4.7667,0.4516,1.0,1.729,Relevant professional experience
63,CAND_0051630,0.7442,4.81,0.3656,1.0,1.7233,Relevant professional experience
64,CAND_0073265,0.7244,4.76,0.6902,0.7,1.7228,Positive candidate engagement signals
65,CAND_0035653,0.7441,4.53,0.6972,1.0,1.7196,Positive candidate engagement signals; Relevant professional experience
66,CAND_0086022,0.8129,4.4,0.7122,1.0,1.7176,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
67,CAND_0098356,0.7435,4.5733,0.623,1.0,1.7153,Positive candidate engagement signals; Relevant professional experience
68,CAND_0080107,0.7327,4.5633,0.6468,1.0,1.7133,Positive candidate engagement signals; Relevant professional experience
69,CAND_0001980,0.7439,4.48,0.7162,1.0,1.7108,Positive candidate engagement signals; Relevant professional experience
